Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Stretch and Strength,Tuesday February 18,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1183991
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Yoga,Tuesday February 18,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1877601
Canterbury Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/canterbury-recreation-complex,Table Tennis (Adult),Tuesday February 18,,,9:15 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1971806
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball,Tuesday February 18,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901731
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball (Older Adult),Tuesday February 18,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1903246
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Preschool Swim,Tuesday February 18,,,9:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898611
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,Aqua- General,Tuesday February 18,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2016751
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Skating,Tuesday February 18,,,9:30 am - 10:50 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428218
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Public Swim,Tuesday February 18,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1990466
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Aqua- General Lite,Tuesday February 18,,,9:30 am - 10:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2022756
